group;subgroup;date;hour;date_end;title;deadline;profesor;content;taller;solucionario
UNIDAD I: DISEÑO DE ESTUDIOS EXPERIMENTALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión 0;10/04/2023;15:00-15:15;;Palabras de bienvenida;;Autoridades del IETSI;;;
UNIDAD I: DISEÑO DE ESTUDIOS EXPERIMENTALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión 0;10/04/2023;15:15-15:30;;Presentación del curso;;Dra. Daysi Díaz (Sub Gerente de Desarrollo de Investigación en Salud );;;
UNIDAD I: DISEÑO DE ESTUDIOS EXPERIMENTALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión 1;10/04/2023;15:30-16:30;;Clase teórica: Introducción al diseño de estudios epidemiológicos: características generales;; Dr. Diego Urrunaga;;;
UNIDAD I: DISEÑO DE ESTUDIOS EXPERIMENTALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión 2;10/04/2023;16:30-18:00;;Clase práctica: Ejercicios aplicados al diseño de estudios epidemiológicos;;Investigadores DIS - IETSI ;;;
UNIDAD I: DISEÑO DE ESTUDIOS EXPERIMENTALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión asincrónica 1;10/04/2023;3 horas;;Actividad asincrónica: revisión de material bibliográfico;;Trabajo individual del alumno;;;
UNIDAD I: DISEÑO DE ESTUDIOS EXPERIMENTALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión 3;11/04/2023;15:00-16:00;;Clase teórica: Diseño de estudios experimentales: características generales;; Dr. Diego Urrunaga;;;
UNIDAD I: DISEÑO DE ESTUDIOS EXPERIMENTALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión 4;11/04/2023;16:00-18:00;;Clase práctica: Ejercicios aplicados en estudios experimentales;;Investigadores DIS - IETSI ;;;
UNIDAD I: DISEÑO DE ESTUDIOS EXPERIMENTALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión asincrónica 2;11/04/2023;3 horas;;Actividad asincrónica: revisión de material bibliográfico;;Trabajo individual del alumno;;;
UNIDAD II: DISEÑO DE ESTUDIOS OBSERVACIONALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión 5;12/04/2023;15:00-16:00;;Clase teórica: Diseño de estudios observacionales: características generales;; Dr. Diego Urrunaga;;;
UNIDAD II: DISEÑO DE ESTUDIOS OBSERVACIONALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión 6;12/04/2023;16:00-18:00;;Clase práctica: Ejercicios aplicados en estudios observacionales;;Investigadores DIS - IETSI ;;;
UNIDAD II: DISEÑO DE ESTUDIOS OBSERVACIONALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión asincrónica 3;12/04/2023;3 horas;;Actividad asincrónica: revisión de material bibliográfico;;Trabajo individual del alumno;;;
UNIDAD II: DISEÑO DE ESTUDIOS OBSERVACIONALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión 7;17/04/2023;15:00-16:00;;Clase práctica: Repaso teórico y práctico;; Dr. Diego Urrunaga;;;
UNIDAD II: DISEÑO DE ESTUDIOS OBSERVACIONALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión 8;17/04/2023;16:00-18:00;;Clase práctica: Taller integrador;;Investigadores DIS - IETSI ;;;
UNIDAD II: DISEÑO DE ESTUDIOS OBSERVACIONALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión 9;17/04/2023;18:00-18:30;;Clase práctica: Resolución del taller integrador;;Dr. Diego Urrunaga;;;
UNIDAD II: DISEÑO DE ESTUDIOS OBSERVACIONALES: CARACTERÍSTICAS Y ASPECTOS CLAVE;Sesión 10;17/04/2023;18:30-19:00;;Clase teórica: Ética: Beneficios individuales y riesgos de una investigación;;Dra. Milagros Dueñas;;;
